ID,Count,Year,Month,Day,DateFull
528,209,2017,8,3,8/3/2017
529,224,2017,8,4,8/4/2017
530,48,2017,8,5,8/5/2017
531,48,2017,8,6,8/6/2017
532,215,2017,8,7,8/7/2017
533,225,2017,8,8,8/8/2017
534,195,2017,8,9,8/9/2017
535,201,2017,8,10,8/10/2017
536,231,2017,8,11,8/11/2017
537,40,2017,8,12,8/12/2017
538,42,2017,8,13,8/13/2017
539,200,2017,8,14,8/14/2017
540,205,2017,8,15,8/15/2017
541,213,2017,8,16,8/16/2017
542,215,2017,8,17,8/17/2017
543,241,2017,8,18,8/18/2017
544,38,2017,8,19,8/19/2017
545,42,2017,8,20,8/20/2017
546,217,2017,8,21,8/21/2017
547,254,2017,8,22,8/22/2017
548,246,2017,8,23,8/23/2017
549,233,2017,8,24,8/24/2017
550,252,2017,8,25,8/25/2017
551,37,2017,8,26,8/26/2017
552,28,2017,8,27,8/27/2017
553,202,2017,8,28,8/28/2017
554,224,2017,8,29,8/29/2017
555,193,2017,8,30,8/30/2017
556,215,2017,8,31,8/31/2017
557,245,2017,9,1,9/1/2017
558,49,2017,9,2,9/2/2017
559,37,2017,9,3,9/3/2017
560,127,2017,9,4,9/4/2017
561,212,2017,9,5,9/5/2017
562,215,2017,9,6,9/6/2017
563,199,2017,9,7,9/7/2017
564,233,2017,9,8,9/8/2017
565,59,2017,9,9,9/9/2017
566,46,2017,9,10,9/10/2017
567,206,2017,9,11,9/11/2017
568,202,2017,9,12,9/12/2017
569,219,2017,9,13,9/13/2017
570,232,2017,9,14,9/14/2017
571,236,2017,9,15,9/15/2017
572,32,2017,9,16,9/16/2017
573,41,2017,9,17,9/17/2017
574,212,2017,9,18,9/18/2017
575,219,2017,9,19,9/19/2017
576,236,2017,9,20,9/20/2017
577,216,2017,9,21,9/21/2017
578,233,2017,9,22,9/22/2017
579,52,2017,9,23,9/23/2017
580,42,2017,9,24,9/24/2017
581,231,2017,9,25,9/25/2017
582,229,2017,9,26,9/26/2017
583,237,2017,9,27,9/27/2017
584,256,2017,9,28,9/28/2017
585,236,2017,9,29,9/29/2017
586,54,2017,9,30,9/30/2017
587,41,2017,10,1,10/1/2017
588,212,2017,10,2,10/2/2017
589,209,2017,10,3,10/3/2017
590,204,2017,10,4,10/4/2017
591,217,2017,10,5,10/5/2017
592,243,2017,10,6,10/6/2017
593,51,2017,10,7,10/7/2017
594,44,2017,10,8,10/8/2017
595,200,2017,10,9,10/9/2017
596,208,2017,10,10,10/10/2017
597,239,2017,10,11,10/11/2017
598,191,2017,10,12,10/12/2017
599,162,2017,10,13,10/13/2017
600,46,2017,10,14,10/14/2017
601,38,2017,10,15,10/15/2017
602,200,2017,10,16,10/16/2017
603,198,2017,10,17,10/17/2017
604,195,2017,10,18,10/18/2017
605,220,2017,10,19,10/19/2017
606,240,2017,10,20,10/20/2017
607,47,2017,10,21,10/21/2017
608,37,2017,10,22,10/22/2017
609,218,2017,10,23,10/23/2017
610,201,2017,10,24,10/24/2017
611,188,2017,10,25,10/25/2017
612,171,2017,10,26,10/26/2017
613,200,2017,10,27,10/27/2017
614,34,2017,10,28,10/28/2017
615,36,2017,10,29,10/29/2017
616,163,2017,10,30,10/30/2017
617,169,2017,10,31,10/31/2017
618,194,2017,11,1,11/1/2017
619,197,2017,11,2,11/2/2017
620,189,2017,11,3,11/3/2017
621,51,2017,11,4,11/4/2017
622,38,2017,11,5,11/5/2017
623,179,2017,11,6,11/6/2017
624,169,2017,11,7,11/7/2017
625,227,2017,11,8,11/8/2017
626,199,2017,11,9,11/9/2017
627,166,2017,11,10,11/10/2017
628,47,2017,11,11,11/11/2017
629,40,2017,11,12,11/12/2017
630,182,2017,11,13,11/13/2017
631,169,2017,11,14,11/14/2017
632,194,2017,11,15,11/15/2017
633,205,2017,11,16,11/16/2017
634,167,2017,11,17,11/17/2017
635,64,2017,11,18,11/18/2017
636,46,2017,11,19,11/19/2017
637,173,2017,11,20,11/20/2017
638,250,2017,11,21,11/21/2017
639,223,2017,11,22,11/22/2017
640,91,2017,11,23,11/23/2017
641,147,2017,11,24,11/24/2017
642,50,2017,11,25,11/25/2017
643,49,2017,11,26,11/26/2017
644,217,2017,11,27,11/27/2017
645,196,2017,11,28,11/28/2017
646,215,2017,11,29,11/29/2017
647,237,2017,11,30,11/30/2017
648,212,2017,12,1,12/1/2017
649,45,2017,12,2,12/2/2017
650,35,2017,12,3,12/3/2017
651,213,2017,12,4,12/4/2017
652,213,2017,12,5,12/5/2017
653,231,2017,12,6,12/6/2017
654,213,2017,12,7,12/7/2017
655,232,2017,12,8,12/8/2017
656,35,2017,12,9,12/9/2017
657,30,2017,12,10,12/10/2017
658,212,2017,12,11,12/11/2017
659,214,2017,12,12,12/12/2017
660,231,2017,12,13,12/13/2017
661,212,2017,12,14,12/14/2017
662,239,2017,12,15,12/15/2017
663,49,2017,12,16,12/16/2017
664,41,2017,12,17,12/17/2017
665,215,2017,12,18,12/18/2017
666,238,2017,12,19,12/19/2017
667,246,2017,12,20,12/20/2017
668,187,2017,12,21,12/21/2017
669,199,2017,12,22,12/22/2017
670,56,2017,12,23,12/23/2017
671,40,2017,12,24,12/24/2017
672,40,2017,12,25,12/25/2017
673,77,2017,12,26,12/26/2017
674,179,2017,12,27,12/27/2017
675,171,2017,12,28,12/28/2017
676,164,2017,12,29,12/29/2017
677,53,2017,12,30,12/30/2017
678,31,2017,12,31,12/31/2017
679,70,2018,1,1,1/1/2018
680,173,2018,1,2,1/2/2018
681,191,2018,1,3,1/3/2018
682,218,2018,1,4,1/4/2018
683,179,2018,1,5,1/5/2018
684,44,2018,1,6,1/6/2018
685,37,2018,1,7,1/7/2018
686,253,2018,1,8,1/8/2018
687,239,2018,1,9,1/9/2018
688,211,2018,1,10,1/10/2018
689,234,2018,1,11,1/11/2018
690,238,2018,1,12,1/12/2018
691,65,2018,1,13,1/13/2018
692,43,2018,1,14,1/14/2018
693,160,2018,1,15,1/15/2018
694,245,2018,1,16,1/16/2018
695,235,2018,1,17,1/17/2018
696,115,2018,1,18,1/18/2018
697,102,2018,1,19,1/19/2018
698,55,2018,1,20,1/20/2018
699,37,2018,1,21,1/21/2018
700,174,2018,1,22,1/22/2018
701,219,2018,1,23,1/23/2018
702,196,2018,1,24,1/24/2018
703,216,2018,1,25,1/25/2018
704,218,2018,1,26,1/26/2018
705,52,2018,1,27,1/27/2018
706,52,2018,1,28,1/28/2018
707,207,2018,1,29,1/29/2018
708,200,2018,1,30,1/30/2018
